id,priority,category,part,qty,sku_click,why,est_cny_low,est_cny_high,taobao_url,alt_url
B7,SHOULD,Power,18650 protected cell,2,Named brand with protection PCB,Off-USB night demo,20,50,https://s.taobao.com/search?q=18650%20%E4%BF%9D%E6%8A%A4%E6%9D%BF%20%E5%8E%9F%E8%A3%85,
B8,SHOULD,Power,18650 1-cell holder,2,With leads,Holder,3,8,https://s.taobao.com/search?q=18650%20%E7%94%B5%E6%B1%A0%E7%9B%92%201%E8%8A%82,
B9,SHOULD,Power,TP4056 with protection USB-C,2,DW01 protection,Charge 18650,4,10,https://s.taobao.com/search?q=TP4056%20%E5%B8%A6%E4%BF%9D%E6%8A%A4%20Type-C,
B10,SHOULD,Power,MP1584 or Mini360 buck,2,Set 5.0V before servo,18650 to 5V,6,16,https://s.taobao.com/search?q=MP1584%20%E9%99%8D%E5%8E%8B%E6%A8%A1%E5%9D%97,
B11,SHOULD,Wiring,Perfboard + 2.54 headers,1,5x7 or 7x9 cm,Soldered harness,8,18,https://s.taobao.com/search?q=%E6%B4%9E%E6%B4%9E%E6%9D%BF%20%E6%8E%92%E9%92%88%202.54,
B12,SHOULD,Wiring,24AWG silicone wire,1,Mixed colours,Internal wiring,8,15,https://s.taobao.com/search?q=%E7%A1%85%E8%83%B6%E7%BA%BF%2024AWG,
B13,SHOULD,Wiring,Heat-shrink assortment,1,2:1 mixed,Insulation,5,12,https://s.taobao.com/search?q=%E7%83%AD%E7%BC%A9%E7%AE%A1%20%E7%9B%92%E8%A3%85,
B14,SHOULD,Enclosure,PETG 1.75 natural or clear,1,Diffuser,Path pool not point source,30,70,https://s.taobao.com/search?q=PETG%201.75%20%E9%80%8F%E6%98%8E%20%E6%9C%AC%E8%89%B2,
B15,SHOULD,Enclosure,M3 brass heat-set inserts,50,M3x4 or M3x5,Lid screws in PETG,8,15,https://s.taobao.com/search?q=M3%20%E7%83%AD%E7%86%94%E8%9E%BA%E6%AF%8D,
B16,SHOULD,Enclosure,M3 screw kit,1,6 8 12 16 mm,Fasteners,8,16,https://s.taobao.com/search?q=M3%20%E8%9E%BA%E4%B8%9D%E5%A5%97%E8%A3%85,
B17,SHOULD,Enclosure,Silicone gasket strip 2-3mm,1,1 m,Weather story for report,6,15,https://s.taobao.com/search?q=%E7%A1%85%E8%83%B6%E5%AF%86%E5%B0%81%E6%9D%A1%203mm,
B18,SHOULD,Tools,Solder 0.8mm + flux,1,Rosin,If makerspace iron is dry,10,20,https://s.taobao.com/search?q=%E7%84%8A%E9%94%A1%E4%B8%9D%200.8mm,
C1,OPTIONAL,Sense,VEML7700 I2C module,1,Alternate to BH1750,Better lux curve,8,25,https://s.taobao.com/search?q=VEML7700%20%E6%A8%A1%E5%9D%97,https://mall.dfrobot.com.cn/goods-1430.html
C2,OPTIONAL,Wiring,BSS138 4-ch level shifter,2,Only if 5V UART clone,Official LD2410C UART is 3.3V,4,10,https://s.taobao.com/search?q=BSS138%20%E7%94%B5%E5%B9%B3%E8%BD%AC%E6%8D%A2,
C3,OPTIONAL,Compute,Seeed XIAO ESP32-S3,1,After DevKit works,Compact final board,35,55,https://s.taobao.com/search?q=XIAO%20ESP32-S3%20seeed,https://shop123145485.taobao.com/
C4,OPTIONAL,Enclosure,PG7 cable gland,4,Waterproof cable entry,USB and sensors into bollard,4,10,https://s.taobao.com/search?q=PG7%20%E9%98%B2%E6%B0%B4%E6%8E%A5%E5%A4%B4,
C5,OPTIONAL,Enclosure,Rubber feet,1,Pack,Demo unit grip,3,8,https://s.taobao.com/search?q=%E6%A9%A1%E8%83%B6%E8%84%9A%E5%9E%AB,
C6,OPTIONAL,Power,Breadboard 3.3/5V PSU module,1,MB-102,Handy 5V rail,6,12,https://s.taobao.com/search?q=%E9%9D%A2%E5%8C%85%E6%9D%BF%E7%94%B5%E6%BA%90%E6%A8%A1%E5%9D%97,
C7,OPTIONAL,Actuate,2N7000 TO-92,10,Small FET,Amber LED switch,2,5,https://s.taobao.com/search?q=2N7000%20TO-92,
C8,OPTIONAL,Actuate,IRLZ44N TO-220,2,Overkill spare,If AO3400 fakes fail,4,10,https://s.taobao.com/search?q=IRLZ44N,
C9,OPTIONAL,Demo,8 ohm 0.5W speaker,1,Listen to FD ticks,Phone is enough for playback,5,12,https://s.taobao.com/search?q=8%E6%AC%A7%200.5W%20%E5%96%87%E5%8F%AD,
C10,OPTIONAL,Sense,TLP-USR01H MEMS ultrasonic,1,Rare; OSHWHub design,Analog HP ~50 kHz front-end,0,0,https://s.taobao.com/search?q=TLP-USR01,https://oshwhub.com/Fungus/TLP_USR01chao-sheng-bo-zhuan-gan
D1,STRETCH,Power,6V 1W solar panel + Schottky,1,v2 only,Proposal stretch,15,40,https://s.taobao.com/search?q=6V%201W%20%E5%A4%AA%E9%98%B3%E8%83%BD%E7%94%B5%E6%B1%A0%E6%9D%BF,
D2,STRETCH,Sense,INMP441 I2S mic extra,1,Not the only bat path,Spectrogram toy,8,15,https://s.taobao.com/search?q=INMP441%20I2S%20%E9%BA%A6%E5%85%8B%E9%A3%8E,
D3,STRETCH,Sense,LD2450,1,Out of scope,Multi-target radar,20,40,https://s.taobao.com/search?q=LD2450%20%E6%B5%B7%E5%87%8C%E7%A7%91,
D4,STRETCH,Enclosure,Conformal coat,1,After print,Moisture,15,30,https://s.taobao.com/search?q=%E4%B8%89%E9%98%B2%E6%BC%86%20PCB,
X1,AVOID,Actuate,SG90 plastic servo,0,Do not buy,Gears fail in wind,0,0,,
X2,AVOID,Actuate,6500K cool-white LED,0,Do not buy,Contradicts 2200K ecology claim,0,0,,
X3,AVOID,Sense,INMP441 or SPH0641 as only detector,0,Do not buy,Not analog ADC demo; SPH0641 is 1.8V PDM,0,0,,
X4,AVOID,Sense,ICS-40730 as bat mic,0,Do not buy,Datasheet 20Hz-20kHz only,0,0,https://item.szlcsc.com/3733719.html,
X5,AVOID,Sense,Anabat Echo Meter Song Meter,0,Do not buy,Thousands of CNY,0,0,,
X6,AVOID,Sense,PIR HC-SR501 as only presence,0,Last-resort spare only,Proposal is mmWave,0,0,,
X7,AVOID,Power,Second solar PSU brick,0,Do not buy,One 18650 plus one buck,0,0,,
X8,AVOID,Compute,Phone or BLE screen as primary UI,0,Do not buy,Rubric non-screen,0,0,,
X9,AVOID,Sense,LD2410D-only bargain,0,Do not buy,Get LD2410C,0,0,,
X10,AVOID,Actuate,MG90S 360 continuous,0,Do not buy,Need known 180deg blade position,0,0,,
